occupation_title,soc_code,median_wage,employment,cluster_v2,cluster_name
Automotive Glass Installers and Repairers,49-3022,47630.0,20310.0,0,Niche/Specialized Lower-Mid Wage Roles
Automotive Service Technicians and Mechanics,49-3023,50620.0,704640.0,1,Mid-Wage Financial & Analytical Specialists
Bus and Truck Mechanics and Diesel Engine Specialists,49-3031,61770.0,289960.0,0,Niche/Specialized Lower-Mid Wage Roles
Farm Equipment Mechanics and Service Technicians,49-3041,56550.0,37870.0,1,Mid-Wage Financial & Analytical Specialists
"Mobile Heavy Equipment Mechanics, Except Engines",49-3042,65510.0,176600.0,1,Mid-Wage Financial & Analytical Specialists
Rail Car Repairers,49-3043,67530.0,21350.0,0,Niche/Specialized Lower-Mid Wage Roles
Motorboat Mechanics and Service Technicians,49-3051,57550.0,23220.0,0,Niche/Specialized Lower-Mid Wage Roles
Motorcycle Mechanics,49-3052,48580.0,13510.0,0,Niche/Specialized Lower-Mid Wage Roles
Outdoor Power Equipment and Other Small Engine Mechanics,49-3053,47880.0,36060.0,0,Niche/Specialized Lower-Mid Wage Roles
Bicycle Repairers,49-3091,42780.0,12170.0,0,Niche/Specialized Lower-Mid Wage Roles
Recreational Vehicle Service Technicians,49-3092,52000.0,17430.0,0,Niche/Specialized Lower-Mid Wage Roles
Tire Repairers and Changers,49-3093,37710.0,108410.0,0,Niche/Specialized Lower-Mid Wage Roles
Mechanical Door Repairers,49-9011,55720.0,27120.0,0,Niche/Specialized Lower-Mid Wage Roles
"Control and Valve Installers and Repairers, Except Mechanical Door",49-9012,74340.0,48240.0,1,Mid-Wage Financial & Analytical Specialists
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",49-9021,61010.0,409670.0,1,Mid-Wage Financial & Analytical Specialists
Home Appliance Repairers,49-9031,50990.0,32150.0,1,Mid-Wage Financial & Analytical Specialists
Industrial Machinery Mechanics,49-9041,64520.0,439640.0,1,Mid-Wage Financial & Analytical Specialists
"Maintenance Workers, Machinery",49-9043,60850.0,60020.0,0,Niche/Specialized Lower-Mid Wage Roles
Millwrights,49-9044,65700.0,40330.0,1,Mid-Wage Financial & Analytical Specialists
"Refractory Materials Repairers, Except Brickmasons",49-9045,61290.0,1080.0,0,Niche/Specialized Lower-Mid Wage Roles
Electrical Power-Line Installers and Repairers,49-9051,95320.0,131070.0,1,Mid-Wage Financial & Analytical Specialists
Telecommunications Line Installers and Repairers,49-9052,74330.0,97720.0,0,Niche/Specialized Lower-Mid Wage Roles
Camera and Photographic Equipment Repairers,49-9061,52720.0,1650.0,0,Niche/Specialized Lower-Mid Wage Roles
Medical Equipment Repairers,49-9062,61660.0,65990.0,0,Niche/Specialized Lower-Mid Wage Roles
Musical Instrument Repairers and Tuners,49-9063,46420.0,5380.0,0,Niche/Specialized Lower-Mid Wage Roles
Watch and Clock Repairers,49-9064,67230.0,1310.0,0,Niche/Specialized Lower-Mid Wage Roles
"Maintenance and Repair Workers, General",49-9071,49590.0,1529700.0,1,Mid-Wage Financial & Analytical Specialists
Wind Turbine Service Technicians,49-9081,64120.0,9980.0,1,Mid-Wage Financial & Analytical Specialists
"Coin, Vending, and Amusement Machine Servicers and Repairers",49-9091,47450.0,26410.0,0,Niche/Specialized Lower-Mid Wage Roles
Commercial Divers,49-9092,72990.0,3450.0,1,Mid-Wage Financial & Analytical Specialists
Locksmiths and Safe Repairers,49-9094,51320.0,15040.0,0,Niche/Specialized Lower-Mid Wage Roles
Manufactured Building and Mobile Home Installers,49-9095,45990.0,3020.0,1,Mid-Wage Financial & Analytical Specialists
Riggers,49-9096,62640.0,22530.0,0,Niche/Specialized Lower-Mid Wage Roles
Signal and Track Switch Repairers,49-9097,92460.0,8720.0,0,Niche/Specialized Lower-Mid Wage Roles
"Helpers--Installation, Maintenance, and Repair Workers",49-9098,39630.0,95580.0,0,Niche/Specialized Lower-Mid Wage Roles
"Installation, Maintenance, and Repair Workers, All Other",49-9099,49230.0,176300.0,1,Mid-Wage Financial & Analytical Specialists
First-Line Supervisors of Production and Operating Workers,51-1011,74450.0,673430.0,3,Business & Operations Management
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",51-2011,65380.0,34020.0,0,Niche/Specialized Lower-Mid Wage Roles
"Coil Winders, Tapers, and Finishers",51-2021,48220.0,12840.0,0,Niche/Specialized Lower-Mid Wage Roles
Engine and Other Machine Assemblers,51-2031,53710.0,34000.0,0,Niche/Specialized Lower-Mid Wage Roles
Structural Metal Fabricators and Fitters,51-2041,51330.0,52360.0,0,Niche/Specialized Lower-Mid Wage Roles
Fiberglass Laminators and Fabricators,51-2051,46880.0,16170.0,0,Niche/Specialized Lower-Mid Wage Roles
Timing Device Assemblers and Adjusters,51-2061,62620.0,250.0,0,Niche/Specialized Lower-Mid Wage Roles
Bakers,51-3011,37160.0,236200.0,0,Niche/Specialized Lower-Mid Wage Roles
Butchers and Meat Cutters,51-3021,40140.0,136430.0,0,Niche/Specialized Lower-Mid Wage Roles
"Meat, Poultry, and Fish Cutters and Trimmers",51-3022,38300.0,145700.0,0,Niche/Specialized Lower-Mid Wage Roles
Slaughterers and Meat Packers,51-3023,40130.0,69950.0,0,Niche/Specialized Lower-Mid Wage Roles
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",51-3091,44810.0,20370.0,0,Niche/Specialized Lower-Mid Wage Roles
Food Batchmakers,51-3092,42290.0,174520.0,0,Niche/Specialized Lower-Mid Wage Roles
Food Cooking Machine Operators and Tenders,51-3093,41590.0,31250.0,0,Niche/Specialized Lower-Mid Wage Roles
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",51-4021,47720.0,60840.0,0,Niche/Specialized Lower-Mid Wage Roles
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",51-4022,49030.0,8930.0,0,Niche/Specialized Lower-Mid Wage Roles
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",51-4023,50140.0,25250.0,1,Mid-Wage Financial & Analytical Specialists
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",51-4031,46330.0,171200.0,0,Niche/Specialized Lower-Mid Wage Roles
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4032,49080.0,4680.0,0,Niche/Specialized Lower-Mid Wage Roles
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4033,46550.0,67000.0,0,Niche/Specialized Lower-Mid Wage Roles
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4034,50620.0,16710.0,0,Niche/Specialized Lower-Mid Wage Roles
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",51-4035,52800.0,12460.0,0,Niche/Specialized Lower-Mid Wage Roles
Machinists,51-4041,58750.0,287050.0,0,Niche/Specialized Lower-Mid Wage Roles
Metal-Refining Furnace Operators and Tenders,51-4051,54430.0,16780.0,0,Niche/Specialized Lower-Mid Wage Roles
"Pourers and Casters, Metal",51-4052,51810.0,4560.0,0,Niche/Specialized Lower-Mid Wage Roles
"Model Makers, Metal and Plastic",51-4061,63340.0,2610.0,0,Niche/Specialized Lower-Mid Wage Roles
"Patternmakers, Metal and Plastic",51-4062,58000.0,1470.0,0,Niche/Specialized Lower-Mid Wage Roles
Foundry Mold and Coremakers,51-4071,48110.0,12790.0,0,Niche/Specialized Lower-Mid Wage Roles
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",51-4072,44350.0,150470.0,0,Niche/Specialized Lower-Mid Wage Roles
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51-4081,47180.0,124590.0,0,Niche/Specialized Lower-Mid Wage Roles
Tool and Die Makers,51-4111,64050.0,56930.0,0,Niche/Specialized Lower-Mid Wage Roles
"Welders, Cutters, Solderers, and Brazers",51-4121,53750.0,416210.0,0,Niche/Specialized Lower-Mid Wage Roles
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",51-4122,47920.0,31600.0,0,Niche/Specialized Lower-Mid Wage Roles
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",51-4191,48750.0,14000.0,0,Niche/Specialized Lower-Mid Wage Roles
"Layout Workers, Metal and Plastic",51-4192,63870.0,5970.0,0,Niche/Specialized Lower-Mid Wage Roles
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",51-4193,43960.0,32410.0,0,Niche/Specialized Lower-Mid Wage Roles
"Tool Grinders, Filers, and Sharpeners",51-4194,50060.0,5600.0,0,Niche/Specialized Lower-Mid Wage Roles
Prepress Technicians and Workers,51-5111,48690.0,23840.0,0,Niche/Specialized Lower-Mid Wage Roles
Printing Press Operators,51-5112,45780.0,144260.0,0,Niche/Specialized Lower-Mid Wage Roles
Print Binding and Finishing Workers,51-5113,42290.0,33180.0,0,Niche/Specialized Lower-Mid Wage Roles
Laundry and Dry-Cleaning Workers,51-6011,34890.0,198040.0,0,Niche/Specialized Lower-Mid Wage Roles
"Pressers, Textile, Garment, and Related Materials",51-6021,35060.0,26120.0,0,Niche/Specialized Lower-Mid Wage Roles
Sewing Machine Operators,51-6031,36670.0,104880.0,0,Niche/Specialized Lower-Mid Wage Roles
Shoe and Leather Workers and Repairers,51-6041,37800.0,7450.0,0,Niche/Specialized Lower-Mid Wage Roles
Shoe Machine Operators and Tenders,51-6042,35650.0,3280.0,0,Niche/Specialized Lower-Mid Wage Roles
"Sewers, Hand",51-6051,36480.0,2190.0,0,Niche/Specialized Lower-Mid Wage Roles
"Tailors, Dressmakers, and Custom Sewers",51-6052,41640.0,13920.0,0,Niche/Specialized Lower-Mid Wage Roles
Textile Bleaching and Dyeing Machine Operators and Tenders,51-6061,38180.0,5310.0,0,Niche/Specialized Lower-Mid Wage Roles
"Textile Cutting Machine Setters, Operators, and Tenders",51-6062,38760.0,9000.0,0,Niche/Specialized Lower-Mid Wage Roles
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",51-6063,39530.0,13030.0,0,Niche/Specialized Lower-Mid Wage Roles
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",51-6064,38670.0,22020.0,0,Niche/Specialized Lower-Mid Wage Roles
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",51-6091,46350.0,12850.0,0,Niche/Specialized Lower-Mid Wage Roles
Fabric and Apparel Patternmakers,51-6092,62750.0,2950.0,1,Mid-Wage Financial & Analytical Specialists
Upholsterers,51-6093,46340.0,20140.0,0,Niche/Specialized Lower-Mid Wage Roles
Cabinetmakers and Bench Carpenters,51-7011,46680.0,77170.0,0,Niche/Specialized Lower-Mid Wage Roles
Furniture Finishers,51-7021,44540.0,14480.0,0,Niche/Specialized Lower-Mid Wage Roles
"Model Makers, Wood",51-7031,56550.0,280.0,0,Niche/Specialized Lower-Mid Wage Roles
"Patternmakers, Wood",51-7032,49630.0,220.0,0,Niche/Specialized Lower-Mid Wage Roles
"Sawing Machine Setters, Operators, and Tenders, Wood",51-7041,42770.0,40850.0,0,Niche/Specialized Lower-Mid Wage Roles
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",51-7042,43380.0,61420.0,0,Niche/Specialized Lower-Mid Wage Roles
Nuclear Power Reactor Operators,51-8011,122890.0,5150.0,4,Quantitative/Technical Specialists & Managers
Power Distributors and Dispatchers,51-8012,106730.0,8520.0,1,Mid-Wage Financial & Analytical Specialists
Power Plant Operators,51-8013,102040.0,29320.0,1,Mid-Wage Financial & Analytical Specialists
Stationary Engineers and Boiler Operators,51-8021,78620.0,28250.0,1,Mid-Wage Financial & Analytical Specialists
Water and Wastewater Treatment Plant and System Operators,51-8031,60020.0,128490.0,1,Mid-Wage Financial & Analytical Specialists
Chemical Plant and System Operators,51-8091,78120.0,16610.0,1,Mid-Wage Financial & Analytical Specialists
Gas Plant Operators,51-8092,87820.0,18030.0,1,Mid-Wage Financial & Analytical Specialists
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8093,96710.0,33160.0,1,Mid-Wage Financial & Analytical Specialists
"Plant and System Operators, All Other",51-8099,62470.0,14080.0,1,Mid-Wage Financial & Analytical Specialists
Chemical Equipment Operators and Tenders,51-9011,58040.0,139630.0,1,Mid-Wage Financial & Analytical Specialists
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",51-9012,51610.0,60100.0,0,Niche/Specialized Lower-Mid Wage Roles
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",51-9021,48540.0,26000.0,0,Niche/Specialized Lower-Mid Wage Roles
"Grinding and Polishing Workers, Hand",51-9022,42660.0,10510.0,0,Niche/Specialized Lower-Mid Wage Roles
"Mixing and Blending Machine Setters, Operators, and Tenders",51-9023,48990.0,94920.0,0,Niche/Specialized Lower-Mid Wage Roles
"Cutters and Trimmers, Hand",51-9031,38020.0,6060.0,0,Niche/Specialized Lower-Mid Wage Roles
"Cutting and Slicing Machine Setters, Operators, and Tenders",51-9032,46570.0,44980.0,0,Niche/Specialized Lower-Mid Wage Roles
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",51-9041,45760.0,58770.0,0,Niche/Specialized Lower-Mid Wage Roles
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",51-9051,48040.0,14280.0,0,Niche/Specialized Lower-Mid Wage Roles
"Inspectors, Testers, Sorters, Samplers, and Weighers",51-9061,48570.0,597370.0,0,Niche/Specialized Lower-Mid Wage Roles
Jewelers and Precious Stone and Metal Workers,51-9071,52540.0,22440.0,0,Niche/Specialized Lower-Mid Wage Roles
Dental Laboratory Technicians,51-9081,49610.0,34410.0,1,Mid-Wage Financial & Analytical Specialists
Medical Appliance Technicians,51-9082,48030.0,11280.0,1,Mid-Wage Financial & Analytical Specialists
Ophthalmic Laboratory Technicians,51-9083,39460.0,18660.0,0,Niche/Specialized Lower-Mid Wage Roles
Packaging and Filling Machine Operators and Tenders,51-9111,43220.0,379060.0,0,Niche/Specialized Lower-Mid Wage Roles
"Painting, Coating, and Decorating Workers",51-9123,41600.0,7940.0,0,Niche/Specialized Lower-Mid Wage Roles
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",51-9124,48250.0,158740.0,0,Niche/Specialized Lower-Mid Wage Roles
Semiconductor Processing Technicians,51-9141,51430.0,31460.0,0,Niche/Specialized Lower-Mid Wage Roles
Photographic Process Workers and Processing Machine Operators,51-9151,40610.0,4800.0,0,Niche/Specialized Lower-Mid Wage Roles
Computer Numerically Controlled Tool Operators,51-9161,50690.0,169450.0,1,Mid-Wage Financial & Analytical Specialists
Computer Numerically Controlled Tool Programmers,51-9162,68120.0,28500.0,1,Mid-Wage Financial & Analytical Specialists
Adhesive Bonding Machine Operators and Tenders,51-9191,46460.0,11500.0,0,Niche/Specialized Lower-Mid Wage Roles
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-9192,43530.0,14760.0,0,Niche/Specialized Lower-Mid Wage Roles
Cooling and Freezing Equipment Operators and Tenders,51-9193,41330.0,6900.0,1,Mid-Wage Financial & Analytical Specialists
Etchers and Engravers,51-9194,43310.0,7750.0,0,Niche/Specialized Lower-Mid Wage Roles
"Molders, Shapers, and Casters, Except Metal and Plastic",51-9195,46170.0,33190.0,0,Niche/Specialized Lower-Mid Wage Roles
"Paper Goods Machine Setters, Operators, and Tenders",51-9196,50270.0,96130.0,0,Niche/Specialized Lower-Mid Wage Roles
Tire Builders,51-9197,57390.0,20770.0,0,Niche/Specialized Lower-Mid Wage Roles
Helpers--Production Workers,51-9198,39070.0,165700.0,0,Niche/Specialized Lower-Mid Wage Roles
Aircraft Cargo Handling Supervisors,53-1041,58170.0,9760.0,1,Mid-Wage Financial & Analytical Specialists
"Airline Pilots, Copilots, and Flight Engineers",53-2011,232140.0,103560.0,2,Elite High-Wage Executives & Medical Specialists
Commercial Pilots,53-2012,123220.0,47630.0,3,Business & Operations Management
Air Traffic Controllers,53-2021,148080.0,22510.0,3,Business & Operations Management
Airfield Operations Specialists,53-2022,56850.0,15190.0,3,Business & Operations Management
Flight Attendants,53-2031,63580.0,131650.0,1,Mid-Wage Financial & Analytical Specialists
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",53-3011,35450.0,12630.0,1,Mid-Wage Financial & Analytical Specialists
Driver/Sales Workers,53-3031,38770.0,409180.0,1,Mid-Wage Financial & Analytical Specialists
Heavy and Tractor-Trailer Truck Drivers,53-3032,58640.0,2062040.0,0,Niche/Specialized Lower-Mid Wage Roles
Light Truck Drivers,53-3033,44860.0,983300.0,0,Niche/Specialized Lower-Mid Wage Roles
"Bus Drivers, School",53-3051,47920.0,402930.0,0,Niche/Specialized Lower-Mid Wage Roles
"Bus Drivers, Transit and Intercity",53-3052,59050.0,159240.0,0,Niche/Specialized Lower-Mid Wage Roles
Shuttle Drivers and Chauffeurs,53-3053,37290.0,248530.0,0,Niche/Specialized Lower-Mid Wage Roles
Locomotive Engineers,53-4011,81410.0,33470.0,1,Mid-Wage Financial & Analytical Specialists
"Rail Yard Engineers, Dinkey Operators, and Hostlers",53-4013,60600.0,3920.0,1,Mid-Wage Financial & Analytical Specialists
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",53-4022,68840.0,12400.0,0,Niche/Specialized Lower-Mid Wage Roles
Railroad Conductors and Yardmasters,53-4031,78000.0,46440.0,1,Mid-Wage Financial & Analytical Specialists
Subway and Streetcar Operators,53-4041,86380.0,10200.0,1,Mid-Wage Financial & Analytical Specialists
Sailors and Marine Oilers,53-5011,51520.0,31670.0,0,Niche/Specialized Lower-Mid Wage Roles
"Captains, Mates, and Pilots of Water Vessels",53-5021,92460.0,36850.0,1,Mid-Wage Financial & Analytical Specialists
Motorboat Operators,53-5022,47520.0,2480.0,0,Niche/Specialized Lower-Mid Wage Roles
Ship Engineers,53-5031,109530.0,8400.0,1,Mid-Wage Financial & Analytical Specialists
Bridge and Lock Tenders,53-6011,57700.0,3040.0,0,Niche/Specialized Lower-Mid Wage Roles
Parking Attendants,53-6021,35150.0,137880.0,0,Niche/Specialized Lower-Mid Wage Roles
Automotive and Watercraft Service Attendants,53-6031,35670.0,102010.0,0,Niche/Specialized Lower-Mid Wage Roles
Aircraft Service Attendants,53-6032,40450.0,31300.0,0,Niche/Specialized Lower-Mid Wage Roles
Traffic Technicians,53-6041,59090.0,7860.0,1,Mid-Wage Financial & Analytical Specialists
Transportation Inspectors,53-6051,92100.0,24500.0,1,Mid-Wage Financial & Analytical Specialists
Passenger Attendants,53-6061,37720.0,27110.0,1,Mid-Wage Financial & Analytical Specialists
Conveyor Operators and Tenders,53-7011,42420.0,22930.0,0,Niche/Specialized Lower-Mid Wage Roles
Crane and Tower Operators,53-7021,68080.0,42890.0,0,Niche/Specialized Lower-Mid Wage Roles
Dredge Operators,53-7031,49640.0,1040.0,0,Niche/Specialized Lower-Mid Wage Roles
Hoist and Winch Operators,53-7041,56450.0,2600.0,1,Mid-Wage Financial & Analytical Specialists
Industrial Truck and Tractor Operators,53-7051,46420.0,774420.0,0,Niche/Specialized Lower-Mid Wage Roles
Cleaners of Vehicles and Equipment,53-7061,35830.0,380430.0,0,Niche/Specialized Lower-Mid Wage Roles
"Laborers and Freight, Stock, and Material Movers, Hand",53-7062,40240.0,2950280.0,0,Niche/Specialized Lower-Mid Wage Roles
Machine Feeders and Offbearers,53-7063,41220.0,42330.0,0,Niche/Specialized Lower-Mid Wage Roles
"Packers and Packagers, Hand",53-7064,36280.0,559820.0,0,Niche/Specialized Lower-Mid Wage Roles
Stockers and Order Fillers,53-7065,37330.0,2833810.0,0,Niche/Specialized Lower-Mid Wage Roles
Gas Compressor and Gas Pumping Station Operators,53-7071,77320.0,3510.0,1,Mid-Wage Financial & Analytical Specialists
"Pump Operators, Except Wellhead Pumpers",53-7072,61770.0,9780.0,0,Niche/Specialized Lower-Mid Wage Roles
Wellhead Pumpers,53-7073,69960.0,17990.0,0,Niche/Specialized Lower-Mid Wage Roles
Refuse and Recyclable Material Collectors,53-7081,49690.0,147240.0,0,Niche/Specialized Lower-Mid Wage Roles
"Tank Car, Truck, and Ship Loaders",53-7121,58870.0,10700.0,0,Niche/Specialized Lower-Mid Wage Roles
